normalized_token,n_records
その他の墓,107
墓地,32
武家屋敷跡,11
屋敷(武家屋敷),10
その他(幕府御用地),9
上水道,9
屋敷(武家),9
その他(上水路跡),7
その他(道路),7
墓地跡,7
大名屋敷跡,7
その他(板碑出土地),6
地下式横穴,6
大名屋敷,6
墓跡,5
その他(軍施設),4
上水路跡,4
屋敷(大名屋敷),4
その他(水路),3
屋敷(大名),3
屋敷(武家・町屋),3
屋敷(武家屋敷・町屋),3
武家屋敷,3
繋飼場,3
その他(上水施設),2
その他(上水木樋),2
その他(上水道),2
その他(下水道),2
その他(井戸),2
その他(台場跡),2
その他(堀),2
その他(寺院・境内),2
その他(庭園),2
その他(町屋・農村地),2
その他(町屋・道路跡),2
その他(石垣),2
その他(護岸盛土),2
その他(護岸石垣),2
その他(道),2
その他(道路跡),2
その他(邸宅),2
その他(門前町),2
上水跡,2
台場跡,2
屋敷(町屋・武家屋敷),2
屋敷跡(武家地・町地),2
:,1
[近世]町屋,1
その他(上水跡),1
その他(下水跡),1
その他(井戸・麹室),1
その他(低湿地),1
その他(入堀),1
その他(刑場跡),1
その他(医療刑務所),1
その他(台場),1
その他(土手),1
その他(城郭石垣),1
その他(堀の護岸),1
その他(塚?),1
その他(墓地),1
その他(大縄地),1
その他(学校),1
その他(宿場),1
その他(幕府御用地・近代軍用地),1
その他(旧制女子学習院),1
その他(明地),1
その他(暗渠下水),1
その他(東海道護岸),1
その他(武家屋敷),1
その他(武家屋敷跡),1
その他(水場),1
その他(水田・墓地),1
その他(水路石垣),1
その他(池跡),1
その他(河岸 堀),1
その他(河岸),1
その他(河川護岸・河岸),1
その他(溝),1
その他(火除地・公園地),1
その他(環濠),1
その他(瓦塔),1
その他(用水 軍施設),1
その他(町地),1
その他(町地・大下水・道路),1
その他(町屋・道),1
その他(町屋・道路),1
その他(町屋屋敷),1
その他(町屋敷、入堀),1
その他(石組溝),1
その他(砲台跡),1
その他(祭祀),1
その他(祭祀遺構),1
その他(粘土採掘坑・水場遺構),1
その他(花卉園),1
その他(草庵跡),1
その他(蔵地),1
その他(蔵屋敷・発電所),1
その他(製紙所跡),1
その他(護岸石積),1
その他(護岸跡),1
その他(近代),1
その他(近代海軍用地),1
その他(道路・水路),1
その他(道路水路),1
その他(鉄道築堤及び関連施設),1
その他(鉄道関連遺構),1
その他(関所),1
その他(陣屋),1
その他(陸軍火薬製造所跡、庭園),1
その他(離宮跡),1
上水施設,1
丘陵,1
丘陵斜面,1
修法壇跡か塚,1
古墳?塚,1
古銭出土地,1
台地,1
台場もしくは塚,1
地下式土壙,1
地下式土壙群,1
地下式壙,1
堀,1
堀跡,1
塚?古墳,1
塚or古墳,1
外堀護岸石垣,1
大井戸,1
大名墓所,1
大名用地,1
大名藩邸跡,1
学問所跡,1
屋敷(武家屋敷跡),1
屋敷(町地),1
屋敷跡(武家地),1
屋敷跡(武家屋敷・堀跡),1
幕府御用地,1
庭園,1
柵跡,1
波除石垣,1
洞穴(祭祀),1
溜池等跡,1
火葬墓,1
町人地跡,1
町屋(屋敷),1
石橋,1
窯跡(江戸瓦窯),1
近衛歩兵第一第二連隊竹橋陣営,1
道路,1
道路跡,1
陸軍省,1
